Country ,Country Code,Medal1,Year of Year -,INDEX(),Distinct count of Event
Afghanistan,AFG,Bronze,2008,"2,429",1
Afghanistan,AFG,Bronze,2012,"2,676",1
United Arab Emirates,ARE,Bronze,2016,"2,926",1
United Arab Emirates,ARE,Gold,2004,"2,208",1
Argentina,ARG,Bronze,1928,356,1
Argentina,ARG,Bronze,1948,564,1
Argentina,ARG,Bronze,1956,736,1
Argentina,ARG,Bronze,1960,821,1
Argentina,ARG,Bronze,1988,"1,479",1
Argentina,ARG,Bronze,1992,"1,587",1
Argentina,ARG,Bronze,1996,"1,767",1
Argentina,ARG,Gold,1924,286,1
Argentina,ARG,Gold,1952,646,1
Argentina,ARG,Gold,2012,"2,678",1
Argentina,ARG,Silver,1932,433,1
Argentina,ARG,Silver,1956,737,1
Argentina,ARG,Silver,1960,822,1
Argentina,ARG,Silver,1964,910,1
Argentina,ARG,Silver,1972,"1,099",1
Argentina,ARG,Silver,1988,"1,480",1
Argentina,ARG,Silver,2012,"2,679",1
Argentina,ARG,Silver,2016,"2,928",1
Armenia,ARM,Bronze,2000,"1,987",1
Armenia,ARM,Gold,1996,"1,769",1
Armenia,ARM,Gold,2016,"2,929",1
Armenia,ARM,Silver,1996,"1,770",1
Armenia,ARM,Silver,2012,"2,681",1
Australia,AUS,Bronze,1896,1,1
Australia,AUS,Bronze,1904,74,1
Australia,AUS,Bronze,1920,236,1
Australia,AUS,Bronze,1928,359,1
Australia,AUS,Bronze,1932,434,1
Australia,AUS,Bronze,1936,498,1
Australia,AUS,Bronze,1994,"1,721",1
Australia,AUS,Bronze,1998,"1,934",1
Australia,AUS,Bronze,2006,"2,375",1
Australia,AUS,Bronze,2014,"2,862",1
Australia,AUS,Gold,1908,143,1
Australia,AUS,Gold,1928,360,1
Australia,AUS,Gold,2006,"2,376",1
Australia,AUS,Silver,1924,290,1
Australia,AUS,Silver,1932,436,1
Australia,AUS,Silver,1976,"1,197",1
Australia,AUS,Silver,2010,"2,616",1
Austria,AUT,Bronze,1904,76,1
Austria,AUT,Bronze,1908,145,1
Austria,AUT,Bronze,1924,291,1
Austria,AUT,Bronze,2004,"2,214",1
Austria,AUT,Bronze,2016,"2,934",1
Austria,AUT,Gold,1972,"1,104",1
Austria,AUT,Gold,1984,"1,382",1
Austria,AUT,Silver,1896,5,1
Austria,AUT,Silver,1904,78,1
Austria,AUT,Silver,1984,"1,383",1
Austria,AUT,Silver,1996,"1,775",1
Austria,AUT,Silver,2000,"1,992",1
Austria,AUT,Silver,2008,"2,437",1
Azerbaijan,AZE,Bronze,2000,"1,993",1
Azerbaijan,AZE,Gold,2004,"2,218",1
Azerbaijan,AZE,Gold,2008,"2,439",1
Azerbaijan,AZE,Gold,2016,"2,936",1
Azerbaijan,AZE,Silver,1996,"1,776",1
Burundi,BDI,Gold,1996,"1,777",1
Burundi,BDI,Silver,2016,"2,938",1
Belgium,BEL,Bronze,1932,440,1
Belgium,BEL,Bronze,1964,917,1
Belgium,BEL,Bronze,1968,"1,009",1
Belgium,BEL,Bronze,1998,"1,938",1
Belgium,BEL,Gold,1908,147,1
Belgium,BEL,Gold,1980,"1,293",1
Belgium,BEL,Gold,1984,"1,385",1
Belgium,BEL,Gold,2004,"2,220",1
Belgium,BEL,Gold,2008,"2,441",1
Belgium,BEL,Silver,1912,195,1
Belgium,BEL,Silver,1928,366,1
Belgium,BEL,Silver,1968,"1,010",1
Belgium,BEL,Silver,1984,"1,386",1
Belgium,BEL,Silver,1992,"1,595",1
Belgium,BEL,Silver,2008,"2,442",1
Belgium,BEL,Silver,2012,"2,689",1
Bulgaria,BGR,Bronze,1952,656,1
Bulgaria,BGR,Bronze,1956,745,1
Bulgaria,BGR,Bronze,2012,"2,690",1
Bulgaria,BGR,Gold,1956,746,1
Bulgaria,BGR,Gold,1960,832,1
Bulgaria,BGR,Gold,1998,"1,939",1
Bulgaria,BGR,Gold,2008,"2,444",1
Bulgaria,BGR,Silver,2002,"2,159",1
Bulgaria,BGR,Silver,2004,"2,223",1
Bulgaria,BGR,Silver,2006,"2,380",1
Bulgaria,BGR,Silver,2008,"2,445",1
Bulgaria,BGR,Silver,2012,"2,691",1
Bulgaria,BGR,Silver,2016,"2,943",1
Bahrain,BHR,Bronze,2012,"2,692",1
Bahrain,BHR,Gold,2016,"2,944",1
Bahrain,BHR,Silver,2016,"2,945",1
Bahamas,BHS,Bronze,1956,748,1
Bahamas,BHS,Bronze,1992,"1,599",1
Bahamas,BHS,Bronze,2000,"2,000",1
Bahamas,BHS,Bronze,2004,"2,224",1
Bahamas,BHS,Bronze,2008,"2,446",1
Bahamas,BHS,Bronze,2016,"2,946",1
Bahamas,BHS,Gold,1964,922,1
Bahamas,BHS,Gold,2004,"2,225",1
Bahamas,BHS,Gold,2012,"2,693",1
Bahamas,BHS,Gold,2016,"2,947",1
Bahamas,BHS,Silver,1996,"1,784",1
Bahamas,BHS,Silver,2008,"2,447",1
Belarus,BLR,Bronze,2002,"2,160",1
Belarus,BLR,Bronze,2010,"2,620",1
Belarus,BLR,Bronze,2014,"2,867",1
Belarus,BLR,Gold,1996,"1,786",1
Belarus,BLR,Gold,2010,"2,621",1
Belarus,BLR,Gold,2016,"2,949",1
Belarus,BLR,Silver,2006,"2,381",1
Belarus,BLR,Silver,2010,"2,622",1
Bermuda,BMU,Bronze,1976,"1,206",1
Brazil,BRA,Bronze,1920,241,1
Brazil,BRA,Bronze,1948,576,1
Brazil,BRA,Bronze,1964,923,1
Brazil,BRA,Gold,1920,242,1
Brazil,BRA,Gold,1952,658,1
Brazil,BRA,Gold,1956,749,1
Brazil,BRA,Gold,1984,"1,388",1
Brazil,BRA,Gold,1988,"1,492",1
Brazil,BRA,Silver,1920,243,1
Brazil,BRA,Silver,1968,"1,015",1
Brazil,BRA,Silver,1992,"1,601",1
Barbados,BRB,Bronze,2000,"2,007",1
